,Tag,Message_stop,Message_length_stop,Number_count
55,0,Do know Mallika Sherawat yesterday? Find @ &lt;URL&gt;,54,0
56,1,"Congrats! 1 year special cinema pass 2 yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",149,24
57,0,"Sorry, I'll call later meeting.",31,0
58,0,Tell reached,12,0
59,0,Yes..gauti sehwag odi series.,29,0
60,0,Your gonna pick $1 burger way home. I can't even move. Pain killing me.,71,1
61,0,Ha ha ha good joke. Girls situation seekers.,44,0
62,0,Its part checking IQ,20,0
63,0,"Sorry roommates took forever, ok I come now?",44,0
64,0,Ok lar double check wif da hair dresser already said wun cut v short. He said cut look nice.,92,0
65,1,"As valued customer, I pleased advise following recent review Mob No. awarded å£1500 Bonus Prize, call 09066364589",113,15
66,0,"Today \song dedicated day..\"" Which song u dedicate me? Send ur valuable frnds first rply me...""",96,0
67,1,"Urgent UR awarded complimentary trip EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",153,21
68,1,"Did hear new \Divorce Barbie\""? It comes Ken's stuff!""",54,0
69,0,I plane give month end.,23,0
70,0,Wah lucky man... Then save money... Hee...,42,0
71,0,Finished class you.,19,0
72,0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,0
73,0,K..k:)where you?how performed?,30,0
74,0,U call now...,13,0
75,0,I waiting machan. Call free.,28,0
76,0,Thats cool. gentleman treat dignity respect.,44,0
77,0,I like peoples much:) shy pa.,29,0
78,0,Does operate &lt;#&gt;,22,0
79,0,Its here. Still looking job. How much Ta's earn there.,54,0
80,0,"Sorry, I'll call later",22,0
81,0,K. Did call ah?,15,0
82,0,Ok way home hi hi,17,0
83,0,You place man,13,0
84,0,Yup next stop.,14,0
85,0,"I call later, network. If urgnt, sms me.",40,0
86,0,For real u getting yo? I need 2 tickets one jacket I'm done. I already used multis.,83,1
87,0,Yes I started send requests make pain came back I'm back bed. Double coins factory too. I gotta cash nitros.,108,0
88,0,I'm really still tonight babe,29,0
89,0,"Ela kano.,il download, come wen ur free..",41,0
90,0,Yeah do! DonÛ÷t stand close tho- youÛ÷ll catch something!,59,0
91,0,Sorry pain. Is ok meet another night? I spent late afternoon casualty means done stuff42moro includes time sheets that. Sorry.,126,2
92,0,Smile Pleasure Smile Pain Smile trouble pours like Rain Smile sum1 Hurts U Smile becoz SOMEONE still Loves see u Smiling!!,122,1
93,1,Please call customer service representative 0800 169 6031 10am-9pm WON guaranteed å£1000 cash å£5000 prize!,107,22
94,0,Havent planning buy later. I check already lido got 530 show e afternoon. U finish work already?,96,3
95,1,"Your free ringtone waiting collected. Simply text password \MIX\"" 85069 verify. Get Usher Britney. FML",102,5
96,0,Watching telugu movie..wat abt u?,33,0
97,0,see. When finish loads loans pay,32,0
98,0,"Hi. Wk ok - hols now! Yes bit run. Forgot hairdressers appointment four need get home n shower beforehand. Does cause prob u?\"" ham""",132,0
99,0,Please text anymore. I nothing else say.,40,0
100,0,Okay name ur price long legal! Wen I pick up? Y u ave x ams xx,62,0
101,0,I'm still looking car buy. And gone 4the driving test yet.,58,1
102,0,As per request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' set callertune Callers. Press *9 copy friends Callertune,122,1
103,0,"wow. You're right! I mean that. I guess gave boston men changed search location nyc, something changed. Cuz signin page still says boston.",138,0
104,0,Umma life vava umma love lot dear,33,0
105,0,Thanks lot wishes birthday. Thanks making birthday truly memorable.,67,0
106,0,"Aight, I'll hit I get cash",26,0
107,0,How would ip address test considering computer minecraft server,63,0
108,0,I know! Grumpy old people. My mom like better lying. Then I always one play jokes...,84,0
109,0,Dont worry. I guess he's busy.,30,0
110,0,What plural noun research?,26,0
111,0,Going dinner.msg after.,23,0
112,0,I'm ok wif cos like 2 try new things. But scared u dun like mah. Cos u said loud.,81,1
113,1,GENT! We trying contact you. Last weekends draw shows å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,137,22
114,0,"Wa, ur openin sentence formal... Anyway, i'm fine too, juz tt i'm eatin much n puttin weight...Haha... So anythin special happened?",131,0
115,0,"As I entered cabin PA said, '' Happy B'day Boss !!''. I felt special. She askd 4 lunch. After lunch invited apartment. We went there.",133,1
116,1,You winner U specially selected 2 receive å£1000 4* holiday (flights inc) speak live operator 2 claim 0871277810910p/min (18+),126,22
117,0,Goodo! Yes must speak friday - egg-potato ratio tortilla needed!,64,0
118,0,Hmm...my uncle informed he's paying school directly. So pls buy food.,69,0
119,1,PRIVATE! Your 2004 Account Statement 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,140,34
120,1,"URGENT! Your Mobile No. awarded å£2000 Bonus Caller Prize 5/9/03 This final try contact U! Call Landline 09064019788 BOX42WR29C, 150PPM",135,26
121,0,new address -apples&pairs&all malarky,37,0
122,1,Todays Voda numbers ending 7548 selected receive $350 award. If match please call 08712300220 quoting claim code 4041 standard rates app,136,22
123,0,I going sao mu today. Will done 12,34,2
124,0,ÌÏ predict wat time Ì_'ll finish buying?,40,0
125,0,"Good stuff, do.",15,0
126,0,"Just know,yetunde sent money yet. I sent text bother sending. So over, dont involve anything. I imposed anything first place that, apologise.",141,0
127,0,Are room.,9,0
128,0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,0
129,0,K..k:)how much cost?,20,0
130,0,I'm home.,9,0
131,0,"Dear, call Tmorrow.pls accomodate.",34,0
132,0,First answer question.,22,0
133,1,Sunshine Quiz Wkly Q! Win top Sony DVD player u know country Algarve in? Txt ansr 82277. å£1.50 SP:Tyrone,105,8
134,1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join UK's largest Dogging Network bt Txting GRAVEL 69888! Nt. ec2a. 31p.msg@150p,155,13
135,0,I haf msn. It's yijue@hotmail.com,33,0
136,0,He there. You call meet,23,0
137,0,No no. I check rooms befor activities,37,0
138,1,You'll rcv msgs chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify yr network & try,122,5
139,0,Got c... I lazy type... I forgot Ì_ lect... I saw pouch like v nice...,70,0
140,0,"K, text way",11,0
141,0,"Sir, Waiting mail.",18,0
142,0,"A swt thought: \Nver get tired little things 4 lovable persons..\"" Coz..somtimes little things occupy biggest part Hearts.. Gud ni8""",132,2
143,0,I know are. Can pls open back?,30,0
144,0,Yes see ya dot,14,0
145,0,Whats staff name taking class us?,33,0
146,1,"FreeMsg Why replied text? I'm Randy, sexy, female live local. Luv hear u. Netcollex Ltd 08700621170150p per msg reply Stop end",126,14
147,0,Ummma.will call check in.our life begin qatar pls pray hard.,60,0
148,0,K..i deleted contact why?,25,0
149,0,Sindu got job birla soft ..,27,0
150,0,The wine flowing i'm nevering..,31,0
151,0,Yup thk cine better cos need 2 go 2 plaza mah.,46,2
152,0,Ok... Ur typical reply...,25,0
153,0,As per request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' set callertune Callers. Press *9 copy friends Callertune,122,1
154,0,"You everywhere dirt, floor, windows, even shirt. And sometimes open mouth, comes flowing out. I dream world without you, half chores too. A time joy me, lots tv shows i.ll see. But guess like things must exist, like rain, hail mist, time done, become one.",255,0
155,0,Aaooooright work?,17,0
156,0,I'm leaving house now...,24,0
157,0,"Hello, love. What doing? Did get interview today? Are happy? Are good boy? Do think me?Are missing ?",100,0
158,1,Customer service annoncement. You New Years delivery waiting you. Please call 07046744435 arrange delivery,106,11
159,1,You winner U specially selected 2 receive å£1000 cash 4* holiday (flights inc) speak live operator 2 claim 0871277810810,120,20
160,0,Keep safe I need I miss already I envy everyone see's real life,63,0
161,0,New car house parents.:)i new job hand:),40,0
162,0,I'm love you. I'm excited day spend you. You make happy.,56,0
163,1,-PLS STOP bootydelious (32/F) inviting friend. Reply YES-434 NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND 62468,129,13
164,1,"BangBabes Ur order way. U SHOULD receive Service Msg 2 download UR content. If U not, GoTo wap. bangb. tv UR mobile internet/service menu",137,1
165,0,I place ur points e cultures module already.,44,0
166,1,URGENT! We trying contact you. Last weekends draw shows å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs,125,18
167,0,"Hi frnd, best way avoid missunderstding wit beloved one's?",58,0
168,0,Great escape. I fancy bridge needs lager. See tomo,50,0
169,0,Yes :)it completely form:)clark also utter waste.,49,0
170,0,"Sir, I need AXIS BANK account bank address.",43,0
171,0,"Hmmm.. Thk sure got time hop ard... Ya, go 4 free abt... Muz call u discuss liao...",83,1
172,0,What time coming later?,23,0
173,0,"Bloody hell, cant believe forgot surname Mr . Ill give u clue, spanish begins m...",82,0
174,0,"Well, i'm gonna finish bath now. Have good...fine night.",56,0
175,0,Let know got money carlos make call,35,0
176,0,U still going mall?,19,0
177,0,"Turns friends staying whole show back til ~ &lt;#&gt; , feel free go ahead smoke $ &lt;#&gt; worth",98,0
178,0,Text her. If doesnt reply let know log,38,0
179,0,Hi! You spoke MANEESHA V. We'd like know satisfied experience. Reply Toll Free Yes No.,86,0
180,0,You lifted hopes offer money. I need. Especially end month approaches hurts studying. Anyways gr8 weekend,105,1
181,0,Lol no. U trust me.,19,0
182,0,ok. I gentleman treat dignity respect.,38,0
183,0,"He will, guys close?",20,0
184,0,Going nothing great.bye,23,0
185,0,Hello handsome ! Are finding job ? Not lazy ? Working towards getting back net mummy ? Where's boytoy ? Does miss ?,115,0
186,0,"Haha awesome, minute",20,0
187,1,Please call customer service representative FREEPHONE 0808 145 4742 9am-11pm WON guaranteed å£1000 cash å£5000 prize!,117,22
188,0,Have got Xmas radio times. If get,33,0
189,0,I jus reached home. I go bathe first. But sis using net tell u finishes k...,76,0
190,1,Are unique enough? Find 30th August. www.areyouunique.co.uk,59,2
191,0,I'm sorry. I've joined league people dont keep touch. You mean great deal me. You friend times even great personal cost. Do great week.|,136,0
192,0,Hi :)finally completed course:),31,0
193,0,It stop itself. I however suggest stays someone able give ors every stool.,74,0
194,0,How doing? Hope settled new school year. Just wishin gr8 day,60,1
195,0,Gud mrng dear hav nice day,26,0
196,0,Did u got persons story,23,0
197,0,hamster dead? Hey tmr meet 1pm orchard mrt?,43,1
198,0,Hi Kate evening? I hope see tomorrow bit bloody babyjontet! Txt back u can. :) xxx,82,0
199,0,"Found it, ENC &lt;#&gt; , at?",29,0
200,0,I sent &lt;#&gt; bucks,22,0
201,0,Hello darlin ive finished college txt u finish u love Kate xxx,62,0
202,0,Your account refilled successfully INR &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance Rs &lt;DECIMAL&gt; . Your Transaction ID KR &lt;#&gt; .,154,0
203,0,Goodmorning sleeping ga.,24,0
204,0,U call alter 11 ok.,19,2
205,0,ÌÏ say like dat dun buy ericsson oso cannot oredi lar...,56,0
206,0,"As I entered cabin PA said, '' Happy B'day Boss !!''. I felt special. She askd 4 lunch. After lunch invited apartment. We went there.",133,1
207,0,"Aight yo, dats straight dogg",28,0
208,0,You please give us connection today &lt;DECIMAL&gt; refund bill,63,0
209,0,Both :) shoot big loads get ready!,34,0
210,0,"What's bruv, hope great break. Do rewarding semester.",53,0
211,0,Home always chat,16,0
212,0,K:)k:)good:)study well.,23,0
213,0,Yup... How Ì_ noe leh...,24,0
214,0,Sounds great! Are home now?,27,0
215,0,Finally match heading towards draw prediction.,46,0
216,0,Tired. I slept well past nights.,32,0
217,0,Easy ah?sen got selected means good..,37,0
218,0,I take exam march 3,19,1
219,0,Yeah should. I think use gt atm register. Not sure there's anyway help let know. But sure ready.,96,0
220,0,Ok prob. Take ur time.,22,0
221,0,There os called ubandu run without installing hard disk...you use os copy important files system give repair shop..,115,0
222,0,"Sorry, I'll call later",22,0
223,0,U say leh... Of course nothing happen lar. Not say v romantic jus bit lor. I thk e nite scenery nice leh.,105,0
224,1,"500 New Mobiles 2004, MUST GO! Txt: NOKIA No: 89545 & collect today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",129,31
225,0,Would really appreciate call me. Just need someone talk to.,59,0
226,1,"Will u meet ur dream partner soon? Is ur career 2 flyng start? 2 find free, txt HORO followed ur star sign, e. g. HORO ARIES",124,2
227,0,Hey company elama po mudyadhu.,30,0
228,0,"Life strict teacher... Bcoz Teacher teaches lesson &amp; conducts exam, But Life first conducts Exam &amp; teaches Lessons. Happy morning. . .",142,0
229,0,Dear good morning,17,0
230,0,Get gandhipuram walk cross cut road. Right side &lt;#&gt; street road turn first right.,87,0
231,0,Dear going rubber place,23,0
232,0,"Sorry battery died, yeah I'm",28,0
233,0,Yes:)here tv always available work place..,42,0
234,1,Text & meet someone sexy today. U find date even flirt U. Join 4 10p. REPLY NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,128,7
235,0,I printed oh. So &lt;#&gt; come upstairs,40,0
236,0,Or ill little closer like bus stop street,41,0
237,0,Where you?when wil reach here?,30,0
238,0,"New Theory: Argument wins SITUATION, loses PERSON. So dont argue ur friends just.. . . . kick &amp; say, I'm always correct.!",125,0
239,1,U 447801259231 secret admirer looking 2 make contact U-find R*reveal thinks UR special-call 09058094597,103,24
240,0,Tomarrow final hearing laptop case cant.,40,0
241,0,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,45,0
242,0,"Okay. No no, shining on. That meant signing, sounds better.",59,0
243,0,"Although told u dat i'm baig face watches really like e watch u gave cos fr u. Thanx 4 everything dat u've done today, i'm touched...",133,1
244,0,U remember old commercial?,26,0
245,0,Too late. I said website. I dont slippers,41,0
246,0,I asked call ok,15,0
247,0,Kallis wont bat 2nd innings.,28,1
248,0,It didnt work oh. Ok goodnight then. I.ll fix ready time wake up. You dearly missed good night sleep.,101,0
249,1,Congratulations ur awarded 500 CD vouchers 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC 87066 TnCs www.Ldew.com1win150ppmx3age16,141,22
250,0,Ranjith cal drpd Deeraj deepak 5min hold,40,1
251,0,"Wen ur lovable bcums angry wid u, dnt take seriously.. Coz angry childish n true way showing deep affection, care n luv!.. kettoda manda... Have nice day da.",157,0
252,0,What doing?how you?,19,0
253,0,"Ups 3days also, shipping company takes 2wks. The way usps takes week gets lag may bribe nipost get stuff.",105,2
254,0,"I'm back, lemme know ready",26,0
255,0,Don't necessarily expect done get back though I'm headin,56,0
256,0,Mmm yummy babe ... Nice jolt suzy,33,0
257,0,Where lover ? I need ...,24,0
258,1,We tried contact reply offer Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply call 08000930705 NOW,124,14
259,0,IÛ÷m parked next MINI!!!! When coming today think?,51,0
260,0,Yup,3,0
261,0,Anyway i'm going shopping now. Cos sis done yet. Dun disturb u liao.,68,0
262,0,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,51,10
263,1,Hey I really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698,100,13
264,0,Why Dint come us.,17,0
265,0,Same. Wana plan trip sometme,28,0
266,0,"Not sure yet, still trying get hold",35,0
267,1,Ur ringtone service changed! 25 Free credits! Go club4mobiles.com choose content now! Stop? txt CLUB STOP 87070. 150p/wk Club4 PO Box1146 MK45 2WT,146,19
268,0,The evo. I download flash. Jealous?,35,0
269,1,Ringtone Club: Get UK singles chart mobile week choose top quality ringtone! This message free charge.,102,0
270,0,"Come mu, we're sorting narcotics situation",42,0
271,0,"Night ended another day, morning come special way. May smile like sunny rays leaves worries blue blue bay.",106,0
272,1,HMV BONUS SPECIAL 500 pounds genuine HMV vouchers won. Just answer 4 easy questions. Play Now! Send HMV 86688 More info:www.100percent-real.com,143,12
273,0,"Usf I guess, might well take 1 car",34,1
274,0,No objection. My bf coming.,27,0
275,0,Thanx...,8,0
276,0,Tell rob mack gf theater,24,0
277,0,"Awesome, I'll see bit",21,0
278,0,Just sent it. So type food like?,32,0
279,0,All done? All handed in? Celebrations full swing yet?,53,0
280,0,You got called tool?,20,0
281,0,\Wen u miss someone,19,0
282,0,Ok. I asked money far,21,0
283,0,Okie...,7,0
284,0,"Yeah I think usual guy's still passed last night, get ahold anybody let know I'll throw",87,0
285,0,"K, I might come tonight class lets early",40,0
286,0,Ok..,4,0
287,0,hi baby im cruisin girl friend r u 2? give call hour home thats alright fone fone love jenny xxx,96,1
288,0,"My life Means lot me, Not I love life, But I love people life, The world calls friends, I call World:-).. Ge:-)..",113,0
289,0,"Dear,shall mail tonite.busy street,shall update tonite.things looking ok.varunnathu edukkukayee raksha ollu.but good one real sense.",132,0
290,0,Hey told name gautham ah?,25,0
291,0,Haf u found him? I feel stupid da v cam working.,48,0
292,0,Oops. 4 got bit.,16,1
293,0,Are much buzy,13,0
294,0,I accidentally deleted message. Resend please.,46,0
295,1,T-Mobile customer may claim FREE CAMERA PHONE upgrade & pay & go sim card loyalty. Call 0845 021 3680.Offer ends 28thFeb.T&C's apply,132,13
296,0,Unless situation YOU GO GURL would appropriate,46,0
297,0,Hurt me... Tease me... Make cry... But end life die plz keep one rose grave say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,120,0
298,0,I cant pick phone right now. Pls send message,45,0
299,0,Need coffee run tomo?Can't believe time week already,52,0
300,0,"Awesome, I remember last time got somebody high first time diesel :V",68,0
301,0,"Shit really shocking scary, cant imagine second. Def night out. Do u think somewhere could crash night, save taxi?",114,0
302,0,Oh way food fridge! Want go meal tonight?,41,0
303,0,He womdarfull actor,19,0
304,1,"SMS. ac Blind Date 4U!: Rodds1 21/m Aberdeen, United Kingdom. Check Him http://img. sms. ac/W/icmb3cktz8r7!-4 Blind Dates send HIDE",131,8
305,0,Yup... From remb... I think book...,35,0
306,0,Jos ask u wana meet up?,23,0
307,0,Lol yes. Our friendship hanging thread cause u buy stuff.,57,0
308,1,"TheMob> Check newest selection content, Games, Tones, Gossip, babes sport, Keep mobile fit funky text WAP 82468",111,5
309,0,Where garage keys? They bookshelf,33,0
310,0,Today ACCEPT DAY..U Accept as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,150,3
311,1,"Think ur smart ? Win å£200 week weekly quiz, text PLAY 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",119,18
312,0,He says he'll give call friend's got money he's definitely buying end week,74,0
313,0,"Hi way I u 2day, normal way&this real me. UR unique&I hope I know u 4 rest mylife. Hope u find wot lost.",104,2
314,0,You made day. Do great day too.,31,0
315,0,K.k:)advance happy pongal.,26,0
316,0,"Hmmm... Guess go 4 kb n power yoga... Haha, dunno tahan power yoga anot... Thk got lo oso, forgot liao...",105,1
317,0,"Not really dude, friends i'm afraid :(",38,0
318,1,December only! Had mobile 11mths+? You entitled update latest colour camera mobile Free! Call The Mobile Update Co FREE 08002986906,131,13
319,0,"Coffee cake, guess...",21,0
320,0,"Merry Christmas babe, love ya *kisses*",38,0
321,0,Hey... Why dont go watch x men lunch... Haha,44,0
322,0,cud u tell ppl im gona b bit l8 cos 2 buses hav gon past cos full & im still waitin 4 1. Pete x,95,4
323,0,That would great. We'll Guild. Could meet Bristol road somewhere - get touch weekend. Our plans take flight! Have good week,123,0
324,0,No problem. How doing?,22,0
325,0,No calls..messages..missed calls,32,0
326,0,Hi da:)how todays class?,24,0
327,0,"I'd say that's good sign but, well, know track record reading women",67,0
328,0,"Cool, text parked",17,0
329,0,I'm reading text sent you. Its meant joke. So read light,56,0
330,0,K.k:)apo k.good movie.,22,0
331,0,Maybe could get book tomo return immediately ..? Or something.,62,0
332,1,Call Germany 1 pence per minute! Call fixed line via access number 0844 861 85 85. No prepayment. Direct access!,112,12
333,0,Any chance might evaporated soon violated privacy stealing phone number employer's paperwork. Not cool all. Please contact I report supervisor.,143,0
334,1,Valentines Day Special! Win å£1000 quiz take partner trip lifetime! Send GO 83600 now. 150p/msg rcvd. CustCare:08718720201.,123,23
335,0,"Ta-Daaaaa! I home babe, still ?",31,0
336,0,Cool. So come havent wined dined before?,40,0
337,0,Just sleeping..and surfing,26,0
338,0,"Sorry, I'll call later",22,0
339,0,U calling right? Call hand phone...,35,0
340,0,Ok that's great thanx lot.,26,0
341,0,I take post come then! You must 1000s texts now! Happy reading. My one wiv hello caroline end favourite. Bless,110,4
342,0,Where u hiding stranger?,24,0
343,0,Am interested like that.,24,0
344,0,My sister cleared two round birla soft yesterday.,49,0
345,0,Gudnite....tc...practice going,30,0
346,0,Dis yijue. I jus saw ur mail. In case huiming havent sent u num. Dis num.,73,0
347,0,One small prestige problem now.,31,0
348,1,Fancy shag? I do.Interested? sextextuk.com txt XXUK SUZY 69876. Txts cost 1.50 per msg. TnCs website. X,103,8
349,0,Just checking you. Really miss seeing Jeremiah. Do great month,62,0
350,0,"Nah can't help there, I've never iphone",39,0
351,0,If car hour half I'm going apeshit,34,0
352,0,"TODAY Sorry day.! If ever angry you, ever misbehaved hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",126,0
353,0,Yo guys ever figure much need alcohol? Jay I trying figure much safely spend weed,81,0
354,0,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,45,1
355,0,"Thank You calling.Forgot say Happy Onam Sirji.I fine remembered met insurance person.Meet You Qatar Insha Allah.Rakhesh, ex Tata AIG joined TISSCO,Tayseer.",155,0
356,1,Congratulations ur awarded 500 CD vouchers 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC 87066 TnCs www.Ldew.com1win150ppmx3age16,141,22
357,1,Ur cash-balance currently 500 pounds - maximize ur cash-in send CASH 86688 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,130,28
358,0,"I'm actor. When work, work evening sleep late. Since i'm unemployed moment, ALWAYS sleep late. When unemployed, every day saturday.",131,0
359,0,"Hello! Just got here, st andrews-boy long way! Its cold. I keep posted",70,0
360,0,Ha ha cool cool chikku chikku:-):-DB-),38,0
361,0,Oh ok prob..,12,0
362,0,Check audrey's status right,27,0
363,0,Busy here. Trying finish new year. I looking forward finally meeting you...,75,0
364,0,"Good afternoon sunshine! How dawns day ? Are refreshed happy alive? Do breathe air smile ? I think you, love ... As always",122,0
365,0,Well know Z take care me. So worries.,37,0
366,1,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt Orange. Call MobileUpd8 08000839402 call2optout/F4Q=",156,18
367,1,Here discount code RP176781. To stop messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,113,17
368,0,Wat uniform? In get?,20,0
369,0,"Cool, text ready",16,0
370,0,"Hello boytoy ... Geeee I miss already I woke up. I wish bed me, cuddling me. I love ...",87,0
371,0,I spoil bed well :),19,0
372,0,I'm going bath msg next &lt;#&gt; min..,39,0
373,0,I cant keep talking people sure pay agree price. So pls tell want really buy much willing pay,93,0
